noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,11,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,12,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,13,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,14,0.865,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,15,0.887,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,16,0.873,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,17,0.884,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,18,0.92,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,19,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,20,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,21,0.894,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,22,0.883,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,23,0.887,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,24,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,25,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,26,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,27,0.873,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,28,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,7,29,0.896,0.001339,final_round,2000,30,3,
