noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,28,0.906,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,3,29,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,0,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,1,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,2,0.874,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,3,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,4,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,5,0.906,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,6,0.891,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,7,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,8,0.876,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,9,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,10,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,11,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,12,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,13,0.892,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,14,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,15,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,16,0.875,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,17,0.91,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,18,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,19,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,20,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,21,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,22,0.907,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,23,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,24,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,25,0.906,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,26,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,27,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,28,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,4,29,0.9,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,0,0.887,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,1,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,2,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,3,0.913,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,4,0.914,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,5,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,6,0.885,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,7,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,8,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,9,0.899,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,10,0.908,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,11,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,12,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,13,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,14,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,15,0.899,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,16,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,17,0.9,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,18,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,19,0.887,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,20,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,21,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,22,0.885,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,23,0.889,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,24,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,25,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,26,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,27,0.901,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,28,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,5,29,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,0,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,1,0.887,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,2,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,3,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,4,0.903,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,5,0.916,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,6,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,7,0.88,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,8,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,9,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,10,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,11,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,6,12,0.897,0.001339,final_round,2000,30,3,
